loc	anim	val	additive	animate	set	animateColor	animateTransform
FontFaceElementAccentHeightAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementAlphabeticAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementArabicFormAttribute	FALSE	initial | medial | terminal | isolated	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementAscentAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementBboxAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementCapHeightAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementDAttribute	FALSE	path data	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementDescentAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontFamilyAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontSizeAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontStretchAttribute	FALSE	all | [ normal | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded] [, [ normal | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded] ]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontStyleAttribute	FALSE	all | [ normal | italic | oblique] [, [normal | italic | oblique]]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontVariantAttribute	FALSE	[normal | small-caps] [,[normal | small-caps]]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontWeightAttribute	FALSE	all | [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900] [, [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900]]*	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementG1Attribute	FALSE	<name> [, <name> ]*	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementG2Attribute	FALSE	<name> [, <name> ]*	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementGlyphNameAttribute	FALSE	<name> [, <name> ]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementHangingAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizAdvXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementHorizAdvXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizOriginXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizOriginYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementIdeographicAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementKAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementLangAttribute	FALSE	%LanguageCodes;	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementMathematicalAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceNameElementNameAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementOrientationAttribute	FALSE	h | v	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementOverlinePositionAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementOverlineThicknessAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementPanose1Attribute	FALSE	[<integer>]{10}	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementSlopeAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementStemhAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementStemvAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementStrikeThroughPositionAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementStrikeThroughThicknessAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceFormatElementStringAttribute	FALSE	<anything>	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementU1Attribute	FALSE	[<character> | <urange> ] [, [<character> | <urange>] ]*	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementU2Attribute	FALSE	[<character> | <urange>] [, [<character> | <urange>] ]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementUnderlinePositionAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementUnderlineThicknessAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementUnicodeAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementUnicodeRangeAttribute	FALSE	<urange> [, <urange>]*	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementUnitsPerEmAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementVertAlphabeticAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementVertHangingAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementVertIdeographicAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementVertMathematicalAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementVertAdvYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementVertAdvYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementVertOriginXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementVertOriginXAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementVertOriginYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementVertOriginYAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementWidthsAttribute	FALSE	<string>	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementXHeightAttribute	FALSE	<number>	FALSE	FALSE	FALSE	FALSE	FALSE
