loc	anim	additive	animate	set	animateColor	animateTransform
FontFaceElementAccentHeightAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementAlphabeticAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementArabicFormAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementAscentAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementBboxAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementCapHeightAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementDAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementDescentAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontFamilyAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontSizeAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontStretchAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontStyleAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontVariantAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementFontWeightAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementG1Attribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementG2Attribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementGlyphNameAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementHangingAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizAdvXAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GlyphElementHorizAdvXAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizOriginXAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontElementHorizOriginYAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FontFaceElementIdeographicAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
HKernElementKAttribute	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
