attr,element,loc,component,description,equivalence
dxy,altGlyph|feOffset|glyphRef|text|tref|tspan,AltGlyphElementDXYAttribute|AltGlyphElementDXYAttribute|feOffsetDXYAttribute|feOffsetDXYAttribute|GlyphRefElementDXYAttribute|GlyphRefElementDXYAttribute|TextElementDXYAttribute|TextElementDXYAttribute|TSpanElementDXYAttribute|TSpanElementDXYAttribute|TSpanElementDXYAttribute|TSpanElementDXYAttribute,dx|dy,Shortcut for assigning dx and dy,"dxy =v is equivalent to  dx=v[1], dy=v[2]"
xy,altGlyph|cursor|feBlend|feColorMatrix|feComponentTransfer|feComposite|feConvolveMatrix|feDiffuseLighting|feDisplacementMap|feFlood|feGaussianBlur|feImage|feMerge|feMorphology|feOffset|feSpecularLighting|feTile|feTurbulence|filter|foreignObject|glyphRef|image|mask|pattern|rect|svg|text|tref|tspan|use,AltGlyphElementXYAttribute|AltGlyphElementXYAttribute|CursorElementXYAttribute|CursorElementXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterPrimitiveXYAttribute|FilterElementXYAttribute|FilterElementXYAttribute|ForeignObjectElementXYAttribute|ForeignObjectElementXYAttribute|GlyphRefElementXYAttribute|GlyphRefElementXYAttribute|ImageElementXYAttribute|ImageElementXYAttribute|MaskElementXYAttribute|MaskElementXYAttribute|PatternElementXYAttribute|PatternElementXYAttribute|RectElementXYAttribute|RectElementXYAttribute|SVGElementXYAttribute|SVGElementXYAttribute|TextElementXYAttribute|TextElementXYAttribute|TSpanElementXYAttribute|TSpanElementXYAttribute|TSpanElementXYAttribute|TSpanElementXYAttribute|UseElementXYAttribute|UseElementXYAttribute,x|y,Shortcut for assigning x and y,"xy =v is equivalent to  x=v[1], y=v[2]"
cxy,circle|ellipse|radialGradient,CircleElementCXYAttribute|CircleElementCXYAttribute|EllipseElementCXYAttribute|EllipseElementCXYAttribute|RadialGradientElementCXYAttribute|RadialGradientElementCXYAttribute,cx|cy,Shortcut for assigning cx and cy,"cxy =v is equivalent to  cx=v[1], cy=v[2]"
rxy,ellipse|rect,EllipseElementRXYAttribute|EllipseElementRXYAttribute|RectElementRXYAttribute|RectElementRXYAttribute,rx|ry,Shortcut for assigning rx and ry,"rxy =v is equivalent to  rx=v[1], ry=v[2]"
in1,feBlend|feColorMatrix|feComponentTransfer|feComposite|feConvolveMatrix|feDiffuseLighting|feDisplacementMap|feGaussianBlur|feMorphology|feOffset|feSpecularLighting|feTile,FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute|FilterPrimitiveIN1Attribute,in,Alias for in,Alias for in
in12,feBlend|feComposite|feDisplacementMap,FilterPrimitiveIN12Attribute|FilterPrimitiveIN12Attribute|FilterPrimitiveIN12Attribute|FilterPrimitiveIN12Attribute|FilterPrimitiveIN12Attribute|FilterPrimitiveIN12Attribute,in|in2,Shortcut for assigning in and in2,"in12 =v is equivalent to  in=v[1], in2=v[2]"
wh,feBlend|feColorMatrix|feComponentTransfer|feComposite|feConvolveMatrix|feDiffuseLighting|feDisplacementMap|feFlood|feGaussianBlur|feImage|feMerge|feMorphology|feOffset|feSpecularLighting|feTile|feTurbulence|filter|foreignObject|image|mask|pattern|rect|svg|use,FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterPrimitiveWHAttribute|FilterElementWHAttribute|FilterElementWHAttribute|ForeignObjectElementWHAttribute|ForeignObjectElementWHAttribute|ImageElementWHAttribute|ImageElementWHAttribute|MaskElementWHAttribute|MaskElementWHAttribute|PatternElementWHAttribute|PatternElementWHAttribute|RectElementWHAttribute|RectElementWHAttribute|SVGElementWHAttribute|SVGElementWHAttribute|UseElementWHAttribute|UseElementWHAttribute,height|width,Shortcut for assigning height and width,"wh =v is equivalent to  height=v[1], width=v[2]"
k1234,feComposite,feCompositeK1234Attribute|feCompositeK1234Attribute|feCompositeK1234Attribute|feCompositeK1234Attribute,k1|k2|k3|k4,"Shortcut for assigning k1, k2, k3 and k4","k1234 =v is equivalent to  k1=v[1], k2=v[2], k3=v[3], k4=v[4]"
targetXY,feConvolveMatrix,feConvolveMatrixElementTARGETXYAttribute|feConvolveMatrixElementTARGETXYAttribute,targetX|targetY,Shortcut for assigning targetX and targetY,"targetXY =v is equivalent to  targetX=v[1], targetY=v[2]"
xyz,fePointLight|feSpotLight,fePointLightXYZAttribute|fePointLightXYZAttribute|fePointLightXYZAttribute|feSpotLightXYZAttribute|feSpotLightXYZAttribute|feSpotLightXYZAttribute,x|y|z,"Shortcut for assigning x, y and z","xyz =v is equivalent to  x=v[1], y=v[2], z=v[3]"
