attr	val	type	val.def	prefix	sufix	revisit
alignment-baseline	after-edge	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's *alignment* baseline.			
alignment-baseline	alphabetic	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *alphabetic*  baseline.			
alignment-baseline	auto	LITERAL	Specifies to set the alignment point to be the dominant-baseline of the parent.			
alignment-baseline	baseline	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *dominant*  baseline			
alignment-baseline	before-edge	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *before-edge* baseline			
alignment-baseline	central	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *central* baseline			
alignment-baseline	hanging	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *hanging* baseline			
alignment-baseline	ideographic	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's *ideographic*  baseline			
alignment-baseline	inherit	LITERAL	Specifies to inherit *alignment-baseline* value from the parent text content element..			
alignment-baseline	mathematical	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's  *mathematical*  baseline			
alignment-baseline	middle	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's *middle* baseline			
alignment-baseline	text-after-edge	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's *text-after-edge* baseline			
alignment-baseline	text-before-edge	LITERAL	Specifies to set the alignment point to be aligned with the parent text content element 's *text-before-edge* baseline			
baseline-shift	<length>	NUMERIC	Specifies to shift the baseline by the given amount of length.			
baseline-shift	<percentage>	CHARACTER	Specifies to shift the baseline by the amount given as  percentage of the line-height of text.			
baseline-shift	baseline	LITERAL	Specifies a zero baseline shift, than is no shifting of the baseline.			
baseline-shift	inherit	LITERAL	Specifies to Inherit the *baseline-shift* from the parent of this element..			
baseline-shift	sub	LITERAL	Specifies to shift the baseline to the subscript position			
baseline-shift	super	LITERAL	Specifies to shift the baseline to the superscript position			
clip	<shape>	CHARACTER	Specifies the rectangle to clip to.			
clip	auto	LITERAL	Specifies to clip  this element by the boundry of its viewport.			
clip	inherit	LITERAL	Specifies that the clipping region for this element should be inherited from its parent,			
clip-path	<clipPath-Element>	ELEMENT	Specifies a \strong{clipPath} element to be used for clipping			
clip-path	<funciri>	CHARACTER	Specifies a reference to the \strong{clipPath} to be used for clipping by using the functional IRI notation.			
clip-path	inherit	LITERAL	Specifies that the clip-path to be applied to  this element should  be inherited from this elements parents.			
clip-path	none	LITERAL	Specifies no clipping to occur.			
clip-rule	evenodd	LITERAL	Specifies the use of the even-odd rule to determine the interior.			
clip-rule	inherit	LITERAL	Specifies to use the same rule as the parent for the determination of the interior.]			
clip-rule	nonzero	LITERAL	Specifies to use the *non-zero rule* to determine the interior.			
color	<color>	CHARACTER	Sets the color. The color may be expressed in one of three ways: name (i.e. red),  or  numeric (#f00 or #ff0000) or  rgb (rgb(255,0,0)). An optional ICC color may also be specified as a 2nd component of the color vector.			
color	inherit	LITERAL	Specifies the color is to be inherited from the ancestor..			
color-interpolation	auto	LITERAL	Specifies an auto selection of the color interpolation.			
color-interpolation	inherit	LITERAL	Specifies to inherit the method of color interpolation from the parents.			
color-interpolation	linearRGB	LITERAL	Specifies to use a  linearized RGB color space for color interpolation			
color-interpolation	sRGB	LITERAL	Specifies to use sRGB color space for color interpolation			
color-interpolation-filters	auto	LITERAL	Specifies to auto select the color-interpolation filter			
color-interpolation-filters	inherit	LITERAL	Specifies to inherit the color-interpolation methodology from the parent.			
color-interpolation-filters	linearRGB	LITERAL	Specifies to use the linearized RGB color space for the filter effects color operations .			
color-interpolation-filters	sRGB	LITERAL	Specifies to use the sRGB color space for the filter effects color operations .			
color-profile	<iri>	IRI	Specifies an IRI reference to the color profile to be used			
color-profile	<name>	CHARACTER	Specifies the color profile by name			
color-profile	auto	LITERAL	Specifies to auto select the color profile			
color-profile	inherit	LITERAL	Specifies to inherit the color profiel from the parents color profile.			
color-profile	sRGB	LITERAL	Specifies to use the sRGB  color profile			
color-rendering	auto	LITERAL	Specifies to employ a trade-off strategy of optimization of color-rending  which balances speed vs quality.			
color-rendering	inherit	LITERAL	Specifies to inherit the color-rendering optimzation from the parent.			
color-rendering	optimizeQuality	LITERAL	Specifies to optimize the color-rendiering  for quality.			
color-rendering	optimizeSpeed	LITERAL	Specifies to optimize the color-rendiering  for speed			
cursor	<funciri>	FUNCIRI	Specifies a reference to the image for \strong{cursor} by using  functional IRI notation.			
cursor	auto	LITERAL	Specifies to automatically select cursor based on current context.			
cursor	crosshair	LITERAL	Specifies that cursor is to  be a *crosshair* cursor.			
cursor	default	LITERAL	Specifies that cursor is to  be the *default* cursor.   This will most likely appear to be an arrow.			
cursor	e-resize	LITERAL	Specifies that the right edge of the cursor is to move.			
cursor	help ] ]	LITERAL	Specifies that the cursor is to be a help cursor ( question mark or balloon)			
cursor	inherit	LITERAL	Specifies that the cursor is inherited from parent.			
