element,title,description
animate,An Element used to change an attribute over time,The animate element is put inside a shape element and defines how an attribute of an element changes over the animation. The attribute will change from the initial value to the end value in the duration specified.
animateMotion,Element used to move a shape along a path,The animateMotion element causes a referenced element to move along a motion path.
animateTransform,"Element used to scale, rotate, translate and skew a shape over time","The animateTransform element animates a transformation attribute on a target element, thereby allowing animations to control translation, scaling, rotation and/or skewing."
mpath,Element used to specify path for animateMotion,the mpath sub-element for the <animatemotion> element provides the ability to reference an external <path> element as the definition of a motion path.
set,Element used to sets an attribute value at a given time,"The set element provides a simple means of just setting the value of an attribute for a specified duration. It supports all attribute types, including those that cannot reasonably be interpolated, such as string and boolean values. The set element is non-additive. The additive and accumulate attributes are not allowed, and will be ignored if specified."
animateColor,Element used to specify a color transformation over time,"Element used to specify a color transformation over time. The use of 'animateColor' is deprecated, since all of its functionality can be achieved simply by using 'animate' to target properties that can take color values. The 'animateColor' element may be dropped from a future version of the SVG specification."
circle,Element used to create a circular shape,"The circle element is an SVG basic shape, used to create circles based on a center point and a radius."
ellipse,Element used to create an elliptic shape,"The ellipse element is an SVG basic shape, used to create ellipses based on a center coordinate, and both their x and y radius."
line,"Element used to create  a line (segment), shape","The line element is an SVG basic shape, used to create a line connecting two points."
polygon,Element used to create a polygon shape,The polygon element defines a closed shape consisting of a set of connected straight line segments.
polyline,"Element used to create a  polyline (connected line segments), shape","The polyline element is an SVG basic shape, used to create a series of straight lines connecting several points. Typically a polyline is used to create open shapes"
rect,Element used to create a a rectangle shape,"The rect element is an SVG basic shape, used to create rectangles based on the position of a corner and their width and height. It may also be used to create rectangles with rounded corners."
a,Element used to indicate web links,Container element used to create web links
marker,"Element to create a marker arrowheads, tails, ...","The marker element defines the graphics that is to be used for drawing arrowheads or polymarkers on a given <path>, <line>, <polyline> or <polygon> element."
mask,Element used to do masking,"In SVG, you can specify that any other graphics object or <g> element can be used as an alpha mask for compositing the current object into the background. A mask is defined with the mask element. A mask is used/referenced using the mask property."
pattern,"Element to create a specified pattern (used as fill),","A pattern is used to fill or stroke an object using a pre-defined graphic object which can be replicated (""tiled""), at fixed intervals in x and y to cover the areas to be painted. Patterns are defined using the pattern element and then referenced by properties fill and stroke on a given graphics element to indicate that the given element shall be filled or stroked with the referenced pattern."
switch,Element used as a switch description=,"The switch element evaluates the requiredFeatures, requiredExtensions and systemLanguage attributes on its direct child elements in order, and then processes and renders the first child for which these attributes evaluate to true. All others will be bypassed and therefore not rendered. If the child element is a container element such as a <g>, then the entire subtree is either processed/rendered or bypassed/not rendered."
